"","quantity","location","lat","long","service_time","batch_index","driver_index","visit_seq","usage"
"174",1,160,0.783490744592465,-0.734861739285527,0,7,118,5,1
"175",2,587,1.32974497239277,0.432598593277181,0,7,115,2,1
"176",1,681,-1.59383522598506,0.83824901345285,0,12,133,3,1
"177",1,117,1.43796189827856,-0.867830285566672,7.42916666666667,2,20,6,1
"178",1,681,-1.59383522598506,0.83824901345285,0,12,133,4,1
"179",1,160,0.783490744592465,-0.734861739285527,2.03333333333333,7,118,2,1
"180",2,685,-1.55437395842457,0.847621631668939,0.5,4,63,5,1
"181",2,369,-0.548542435500469,-0.118721584779942,6.31666666666667,12,113,1,1
"182",2,683,-1.13667041010079,0.832905745123842,0.295833333333333,1,3,9,1
"183",1,80,1.19309525546961,-0.97548400320725,3.96666666666667,7,105,1,1
"184",1,766,-0.752741571129162,1.13633331054924,2.02083333333333,2,26,5,1
"185",1,512,-0.17167871430218,0.23279539560528,1.45,7,72,6,1
"186",1,59,0.574811290375817,-1.03697538627024,0,2,18,2,1
"187",2,80,1.19309525546961,-0.97548400320725,4.94583333333333,1,8,6,1
"188",2,512,-0.124290729240914,0.232620206478943,0.516666666666667,5,49,4,0
"189",1,82,1.16862582318324,-0.961556467727559,2.58333333333333,6,78,6,0
"190",2,291,0.556717696079976,-0.28979376586451,9.70416666666667,12,126,2,1
"191",2,688,-1.21542062527591,0.867680786541798,5.66666666666667,7,89,8,1
"192",1,20,0.793657621387528,-1.2494797955437,2.56666666666667,7,68,12,1
"193",1,94,1.18516853796884,-0.93203710007482,50.4708333333333,2,20,7,1
"194",1,141,1.38867839381472,-0.799681715733988,0,4,58,9,1
"195",1,39,1.62665223879618,-1.111080386371,6.3211772125,4,58,3,1
"196",1,688,-1.21542062527591,0.867680786541798,0.516666666666667,7,89,10,1
"197",4,512,-0.144969122722138,0.225612641457824,9.17916666666667,10,92,1,0
"198",1,80,1.17534630106487,-0.977323489025699,0,3,32,7,0
"199",2,3,0.580670168529392,-1.46198420481716,3.25833333333333,4,51,4,1
"200",2,563,-0.346066499328494,0.366464698388039,10.4125,4,41,1,1
"201",1,518,-1.77425420911019,0.248212038651991,0,1,5,4,1
"202",1,142,0.950813411846053,-0.789695935577587,0.258333333333334,12,126,4,1
"203",2,512,-0.183051830717006,0.23279539560528,10.3458333333333,7,69,1,1
"204",1,733,-1.09583058297468,1.03209578085668,0.691666666666667,1,3,8,1
"205",2,142,0.950813411846053,-0.789871124703924,7.22916666666667,6,78,3,0
"206",2,812,-1.06981027117745,1.40437267261762,9.2625,4,55,8,1
"207",1,24,0.678375577729016,-1.23012139717246,2.41666666666667,12,123,9,1
"208",1,59,0.576534489833147,-1.02427417466869,1.03333333333333,4,47,7,1
"209",2,106,0.88481487265138,-0.895247383712079,0,7,160,5,1
"210",1,44,0.660109663486707,-1.08734225986125,0.666666666666668,6,79,1,0
"211",1,796,-0.995540374590289,1.32544997156437,0,7,117,3,1
"212",1,112,0.638914310168529,-0.877903660284374,0,4,51,1,1
"213",1,44,0.660281983432563,-1.08707947617236,0.533333333333333,4,54,2,1
"214",1,164,1.32250753467419,-0.723474446125898,2.56666666666667,7,99,11,1
"215",2,59,0.576534489833147,-1.02427417466869,0.516666666666667,4,47,4,1
"216",1,756,-1.01415092872308,1.09761651380675,11.875,6,84,3,0
"217",2,812,-1.06981027117745,1.40437267261762,18.9375,4,55,1,1
"218",3,45,1.64405655330982,-1.08707947617236,1.55,7,105,9,1
"219",1,719,-1.25298637343321,0.959217104634052,0.5,4,52,7,1
"220",1,390,-0.107920334401179,-0.0793040315345932,18.5458333333333,15,120,2,0
"221",2,110,0.874647995856318,-0.879217578726301,0,4,58,5,1
"222",3,45,1.64405655330982,-1.08707947617236,0,7,160,2,1
"223",1,796,-0.995540374590289,1.32544997156437,0,7,117,4,1
"224",2,564,1.56185993922127,0.375136560101269,0,4,42,5,1
"225",1,719,-1.25298637343321,0.959217104634052,9.91666666666667,4,52,6,1
"226",1,733,-1.09583058297468,1.03209578085668,0,4,61,3,1
"227",6,45,1.64405655330982,-1.08707947617236,4.1,7,105,8,1
"228",2,59,0.576534489833147,-1.02427417466869,1.01666666666667,4,47,3,1
"229",1,164,1.32250753467419,-0.723474446125898,0,7,99,12,1
"230",1,753,-1.39945832726033,1.08955781403134,4.24583333333333,12,131,3,1
"231",1,714,-1.17871647684605,0.943187299647029,5.45,4,63,1,1
"232",2,20,0.793657621387528,-1.24930460641736,0.429166666666667,3,33,3,0
"233",1,760,-1.08997170482172,1.11163164384899,22.9416666666667,3,30,3,0
"234",1,80,1.19309525546961,-0.97548400320725,1.58333333333333,1,8,8,1
"235",1,99,0.621509995654885,-0.899276733600405,0,7,106,1,1
"236",2,134,1.2501331574896,-0.818426952166166,2.73333333333333,3,32,1,0
"237",2,210,-0.854927298916742,-0.511670793354055,12.4467953875,4,40,2,1
"238",1,164,1.32250753467419,-0.723474446125898,12.8625,2,20,4,1
"239",1,59,0.576534489833147,-1.02427417466869,1,4,47,6,1
"240",1,636,-1.17061743939941,0.703265792228165,11.3166666666667,3,30,1,0
"241",1,106,0.88481487265138,-0.895247383712079,0,4,57,11,1
"242",2,23,0.781078265352938,-1.22819431679146,3.06311343333333,1,4,3,1
"243",1,756,-1.01415092872308,1.09761651380675,0,6,84,4,0
"244",1,80,1.19309525546961,-0.97548400320725,0.6875,4,53,9,1
"245",1,743,-1.14735424673281,1.06082679744401,0,7,97,9,1
"246",1,291,0.556717696079976,-0.28979376586451,0,12,126,3,1
"247",2,59,0.574811290375817,-1.03697538627024,0.533333333333333,7,68,9,1
"248",1,90,1.39022927332558,-0.93641682821333,7.17083333333333,3,32,2,0
"249",2,309,-0.757394209662973,-0.238025379269034,4.2,15,137,1,0
"250",2,100,0.986483640601394,-0.905145569304689,2.15416666666667,1,8,9,1
"251",2,595,1.11589591980597,0.473417659527003,10.7916666666667,4,42,1,1
"252",1,94,1.18516853796884,-0.93203710007482,0.5,2,20,8,1
"253",1,80,1.19309525546961,-0.97548400320725,0.516666666666667,7,105,2,1
"254",2,756,-1.01415092872308,1.09761651380675,0,6,84,5,0
"255",1,80,1.19309525546961,-0.97548400320725,0,7,105,3,1
"256",1,44,0.660281983432563,-1.08707947617236,7.45,4,54,1,1
"257",1,80,1.19309525546961,-0.97548400320725,0,7,105,4,1
"258",2,503,-0.0918945794531536,0.191187978290053,0,10,92,4,0
"259",2,681,-1.59383522598506,0.83824901345285,3.40833333333333,1,3,1,1
"260",1,758,-1.43374999645005,1.1142594807316,0,7,97,5,1
"261",1,97,1.38919535365167,-0.909963270257175,5.61666666666667,1,5,8,1
"262",1,20,0.793657621387528,-1.2494797955437,0,7,68,10,1
"263",1,163,-0.997952853829816,-0.723124067874469,0,3,23,1,0
"264",2,681,-1.59383522598506,0.83824901345285,0.0166666666666667,1,3,2,1
"265",1,125,1.48000796502443,-0.84242786236356,1.03333333333333,1,2,12,1
"266",1,117,1.43796189827856,-0.867830285566672,2.775,1,8,1,1
"267",2,398,-0.530276521258773,-0.0698438187559583,1.47083333333333,2,12,1,1
"268",2,545,-0.706042865850706,0.323981335446105,5.41666666666667,5,49,5,0
"269",2,700,-1.54455172152122,0.899740396514599,6.71666666666667,4,52,8,1
"270",2,765,-1.23851149799666,1.1343186356057,11.75,4,52,2,1
"271",1,778,-0.754637090531735,1.16777975858297,0,31,156,1,0
"272",1,503,-0.0918945794531536,0.191538356541483,9.56666666666667,2,13,4,1
"273",2,512,-0.144969122722138,0.225612641457824,0.516666666666667,10,92,2,0
"274",2,23,0.781078265352938,-1.22819431679146,0,3,33,4,0
"275",2,681,-1.59383522598506,0.83824901345285,2.58333333333333,7,90,2,1
"276",1,99,0.621509995654885,-0.899276733600405,0.794377916666667,12,123,2,1
"277",1,733,-1.09583058297468,1.03209578085668,0,7,97,6,1
"278",2,309,-0.757394209662973,-0.238025379269034,5.88333333333333,4,46,1,1
"279",2,512,-0.144969122722138,0.225612641457824,0.516666666666667,10,92,3,0
"280",1,347,-0.583178744581902,-0.174869699513929,0,7,67,2,1
"281",1,512,-0.183051830717006,0.23279539560528,1.05,2,13,3,1
"282",1,90,1.39040159327144,-0.936679611900969,4.55008912083333,1,5,9,1
"283",1,44,0.660281983432563,-1.08707947617236,7.61666666666667,2,18,11,1
"284",1,54,1.45898493165149,-1.05361835319634,0,7,160,3,1
"285",1,59,0.574811290375817,-1.03697538627024,0,2,18,12,1
"286",1,45,1.64405655330982,-1.08707947617236,5.5,7,105,7,1
"287",1,512,-0.124290729240914,0.232882990167826,0,2,13,5,1
"288",2,689,-1.34759002361111,0.863038274715649,8.03333333333333,4,52,10,1
"289",2,636,-1.17061743939941,0.703090603101828,7.1625,12,131,5,1
"290",2,586,-0.34124154084944,0.431985431338114,4.92083333333333,7,72,4,1
"291",1,59,0.574811290375817,-1.03697538627024,2.06666666666667,4,45,12,1
"292",1,59,0.576534489833147,-1.02427417466869,1.03333333333333,4,47,9,1
"293",1,117,1.43796189827856,-0.867830285566672,0.5,1,8,2,1
"294",1,113,1.0960791260528,-0.875713796215741,0.766666666666667,3,32,6,0
"295",1,106,0.88481487265138,-0.895247383712079,1.73333333333333,1,2,1,1
"296",2,17,0.857071361397431,-1.25604938775084,0,3,33,1,0
"297",1,90,1.39022927332558,-0.93641682821333,0.0166666666666667,3,32,3,0
"298",1,93,1.46656700926117,-0.92967204687985,10.05,1,8,4,1
"299",2,125,1.48000796502443,-0.84242786236356,0,1,2,10,1
"300",1,697,-1.23230797995199,0.890455372862301,7.15,4,52,11,1
"301",1,20,0.793657621387528,-1.2494797955437,0,2,18,10,1
"302",1,164,1.32250753467419,-0.723474446125898,0,4,57,1,1
"303",2,512,-0.124290729240914,0.232882990167826,0.516666666666667,5,49,3,0
"304",2,17,0.857071361397431,-1.25604938775084,0.5,3,33,2,0
"305",1,45,1.64405655330982,-1.08707947617236,0,7,160,6,1
"306",1,258,-0.273175162306951,-0.362672442087133,0,4,38,1,1
"307",1,59,0.574811290375817,-1.03697538627024,2.56666666666667,4,45,11,1
"308",1,106,0.88481487265138,-0.895247383712079,1.06666666666667,1,2,2,1
"309",2,164,1.32250753467419,-0.723474446125898,7.25833333333333,7,99,9,1
"310",1,90,1.39022927332558,-0.936679611900969,0,1,5,10,1
"311",1,125,1.48000796502443,-0.84242786236356,5.74583333333333,7,118,6,1
"312",1,93,1.46656700926117,-0.92967204687985,0.0166666666666667,1,8,5,1
"313",2,512,-0.124290729240914,0.232620206478943,0,5,49,2,0
"314",2,59,0.574811290375817,-1.03697538627024,0.0166666666666667,4,45,3,1
"315",1,106,0.88481487265138,-0.895247383712079,1,1,2,3,1
"316",1,424,-0.413098958197688,-0.0204404853554524,7.1,12,82,3,1
"317",1,724,-1.37757369415873,0.984006365896851,0,7,97,7,1
"318",1,772,-1.36034169959094,1.15043603515527,2.54583333333333,6,84,1,0
"319",2,812,-1.06981027117745,1.40437267261762,7.18333333333333,4,55,9,1
